,ene_y1,ene_y3
325,23615.055137899453,22887.94755319446
326,23309.780529198077,20504.150453683455
327,24133.662133599824,21642.56902638983
328,23465.622178698613,23013.098254546076
329,23024.643256500607,21558.720353827728
330,22894.38914000515,21546.311107560243
331,23594.035054859036,22068.209638790562
332,23402.00391545818,21437.43971932027
333,24968.587232880665,31163.228432200423
334,21553.55847917006,21172.824267242093
335,24138.21188000156,24125.080507597406
336,22467.445138599112,24497.640556959024
337,25397.336926597916,22180.180318516355
338,22852.03752709805,23481.865862974195
339,36333.12756559957,21144.19152214863
340,24673.69786319571,17335.000778433805
341,21287.29308820255,20137.326647197384
342,22833.44414157859,22166.668421916216
343,25138.873200997958,19989.064770052548
344,23271.00508869574,22192.98666116988
345,25231.75525679864,21504.764686399427
346,23652.999729798456,23451.047163006384
347,23588.391088857243,24354.442149086022
348,23893.513818501237,20926.71708824887
349,22288.739651430264,19697.105738297993
350,23964.117650901277,22567.98854589709
351,23961.35190627148,19496.120230605753
352,24186.29766170005,23137.66380989631
353,23782.88198940074,23400.71244259495
354,25537.997342698312,22596.14816252128
355,25958.767522005703,24352.417162795566
356,24122.618754001338,22438.16694690005
357,24085.378811457285,23444.710947600262
358,22656.118452201852,22189.820729182276
359,26203.009764495542,20616.040307117582
360,20480.74827641963,22838.973575298867
361,23467.05584954886,23417.75389156535
362,23927.874800602287,22147.13966259829
363,24565.7963870201,21372.343591639943
364,22816.80335293484,25184.488581867383
365,22292.369796200335,21622.415474004134
366,23173.48897099558,23113.4864405572
367,22731.296949960735,21789.662431696226
368,23689.95464067282,22480.800626244545
369,24086.751414070255,22352.431312179364
370,25320.130226488473,20537.208972406705
371,22394.31191329991,22725.577208308317
372,25012.35452710071,21632.867573878386
373,22076.608815403386,22790.867299178113
374,23483.915515795674,18678.31001090813
375,22685.960938997487,19453.84477987057
376,23379.352491603342,16230.344321743632
377,24630.399077698556,20943.878701601763
378,22353.59603263757,23395.49607035418
379,23466.057810100534,19970.070831561286
380,24664.235444497554,24094.087384760838
381,23183.973077800747,21909.565244397676
382,22753.14705000013,24422.434635457812
383,23583.948227100675,22830.991757525862
384,24005.68321139862,24174.545872789415
385,24717.17737657874,17615.924349432207
386,23755.100200811976,23427.8310503557
387,23651.570787298646,22606.85354259734
388,23627.626008097464,22674.14551886855
389,25206.17677440006,21931.39514348332
390,23529.305925760917,20886.91377489925
391,23507.485660802624,22463.439177608725
392,23966.538766358477,23668.66245490094
393,24050.54677989555,22747.591914729826
394,20779.81134871252,20820.072472788463
395,22199.837241744415,23236.714172824075
396,23463.948307180086,22643.177574129713
397,21898.915603602116,22155.807664999225
398,22205.277188999746,22130.729014428514
399,24189.703195654292,21047.58577300543
400,23181.62916209978,23427.00427180121
401,24405.910318603772,20790.84873456238
402,22743.76050630189,22701.142845499402
403,23869.485519449026,23693.08429004835
404,23846.277184514616,24484.98093430021
405,22785.559056532882,23702.972023689876
406,23978.775123099313,19715.823453133464
407,22947.6637037003,24231.681231119168
408,24245.571697603275,23257.891755414417
409,22946.090779369588,22881.109101638813
410,22994.42542890378,22728.873363303792
411,24455.350131901276,22528.71044323604
412,22989.636852989275,23095.57297417779
413,23550.20497719923,23347.538110181467
414,23993.188116098492,21603.94811499049
415,21827.252328894298,22520.377511106475
416,19551.590486701927,21415.57208428898
417,24052.82615940197,22898.697250808753
418,23119.2763161977,21928.868338412532
419,22138.099044901377,24063.226064662114
420,22431.384681301275,22188.657647718304
421,23845.23425696332,22056.03959296345
422,24067.23958660154,21549.3356492315
423,24759.962444390385,20904.38749548672
424,23280.811164693845,22046.9414226385
425,24461.856483701536,22880.806529903133
426,24038.29446629727,25037.70169184402
427,22355.243784897015,22877.752300427397
428,24487.960244396716,22497.3306525211
429,24638.597294134255,29819.649246998146
430,23900.52748633014,21354.250100006106
431,22516.92514900109,23238.493005793116
432,23507.616471529484,23979.545241214815
433,24598.801456497215,23167.14284712862
434,24018.265216298314,23915.121829885902
435,25856.219399397287,23262.909126426865
436,25118.096934558842,20711.63530990713
437,24502.69593012299,24034.73587667718
438,23460.508025395844,21497.10104116651
439,23115.762886964734,22495.908010707237
440,22297.716423760703,23188.623586398786
441,35766.001419571534,23210.885207611445
442,24324.212315601108,26538.83001965864
443,21383.746485601936,24141.485591400822
444,23513.971180001125,21695.93848732507
445,24066.556633498596,20751.54807074991
446,23731.696072600735,22506.022056151254
447,24500.886040694495,23233.707697186048
448,23886.616247297366,21290.421096799775
449,24801.70778340199,21898.215809102305
450,23395.49441972989,21609.502741101987
451,23908.30623850253,21173.328127331857
452,23102.753882640947,23175.101783742404
453,22867.82946679944,23253.812634998936
454,20499.155107086735,24149.918391034167
455,23290.824540601156,22330.041848288183
456,23334.489960906318,18196.369052635397
457,22791.59092949841,22290.85195490362
458,22449.02659261174,22157.047352199104
459,23702.770075803037,21836.793788989628
460,24301.341210299805,22225.971446502124
461,25350.816234307287,21990.754213005006
462,23444.85073470369,24282.751475200595
463,18690.529206100262,23553.995142061478
464,23859.349920896995,21806.61220249592
465,26161.95842025217,21136.20398705876
466,22352.866576823602,22651.38567413364
467,22120.572713700927,21340.77270100053
468,23996.336623295465,23025.511539426505
469,23859.697444117963,22349.113838750673
470,23799.15474169929,23242.605189802205
471,24499.38282026822,25895.742501605557
472,23749.341123823066,22453.644078500765
473,23231.49582450246,39238.64873939428
474,24203.59206019612,22912.751567097344
475,25865.375881100877,22177.00429112963
476,23832.617381400523,21677.513097791554
477,24820.133764195467,21846.85595484331
478,22527.615829130074,22799.67142749357
479,22286.995865038865,24131.034923094412
480,26690.6872932018,26351.55220791639
481,22624.426465233842,22281.13153839589
482,23650.090897504513,23459.323957053093
483,19073.978835713988,22113.90772452891
484,23411.819822339145,22676.159233627393
485,23290.944921686572,22868.654558845687
486,23945.193432242508,23040.809591458783
487,23381.938448758807,22848.064736118868
488,23080.751020270898,23816.382733573475
489,22330.29064446005,23778.601496277464
490,25259.494310799073,23174.974085794194
491,19177.05928726684,23522.82919433916
492,22679.08100231889,20777.650641786408
493,22270.787226875367,21848.33949757252
494,24216.993334499835,26399.418295993743
495,23852.41682345589,22683.36008032187
496,21900.866544703524,19726.58211624227
497,22925.53096680401,24131.970058698924
498,25527.90000859989,22968.437403096075
499,23136.882456999898,24284.537089607744
500,22605.778161602066,22442.136653903082
501,22387.77664160777,17530.472405800992
502,25155.983630799143,22911.515111647306
503,22277.190130218954,22923.70127902138
504,22866.935501500175,21799.273898282405
505,21106.58580282315,23386.749279087428
506,22130.748202503804,20442.46756873902
507,23997.616900506222,22433.204809376337
508,24204.31459929955,21250.66827949997
509,22942.626462672946,22718.68274339896
510,24262.408617892586,22128.275415835185
511,23344.538072300405,22830.904103502104
512,24750.628604468748,22726.08738931514
513,23849.330830376348,19981.709972873705
514,21137.658574103094,22855.086041902177
515,24896.64984659844,23088.64752429923
516,23601.15033450117,20980.19826008172
517,21648.801366429678,23468.87311416516
518,23557.539990725938,20855.67700611518
519,22938.490617347503,17456.87011645288
520,23748.0604649009,22783.050967110474
521,23119.409138802257,22754.123562303568
522,23566.42042185072,17893.60643829138
523,23043.219170098102,21752.11600353346
524,22962.61099350104,22733.88731697503
525,24040.214110098594,23989.07482520155
526,21834.696883699395,23618.261157304303
527,23345.989643747886,24316.074834795785
528,20997.819138316918,21977.206547398844
529,23772.367032097605,20226.762340921996
530,15909.871350401141,23538.45658822144
531,24289.46789379807,22695.789188101207
532,21753.593896282044,23882.152766396535
533,23282.507480101183,21205.96652039471
534,23126.85671532345,23080.9381402805
535,24715.680826497428,22749.873896239857
536,24063.142951159516,23884.947401901172
537,23887.614974301625,23465.226199962955
538,22950.40401930006,23570.668428904533
539,24223.149551972692,24731.919751700323
540,23771.461154704088,24031.44392264157
541,22107.99589042705,22290.967105067237
542,22719.92068689284,22070.21926272016
543,22145.87350659876,21903.51206153812
544,22720.71950959722,22124.824549855784
545,25229.150428800942,21418.294453300037
546,22906.35010422127,22369.963884001972
547,25019.53341717281,23598.061641199954
548,23459.31939910239,32102.739480795008
549,22836.703437241697,21498.569823470443
550,25084.057325494556,21667.68809677854
551,23854.890380369496,19066.807913518234
552,23840.698158281248,22427.033802802318
553,23749.78719094191,24406.472169798573
554,25452.615336999545,24711.79008855731
555,23558.255604099802,24487.504907004914
556,22581.84851010455,21785.530391024397
557,19907.21979529632,23899.645224334578
558,24517.696176994836,23105.55050882707
559,22198.936296715987,22859.03223366954
560,23140.11180646223,21172.344689361606
561,20148.74235829869,23651.960086496536
562,22844.7809679545,21899.648006799278
563,24975.393230351736,21768.346837793953
564,26201.730635558626,23633.746370545356
565,23332.42401159603,20192.504404600353
566,23742.581089102267,23542.967798098944
567,23016.366902999147,23476.91614448225
568,24026.92483530072,23351.301183695516
569,21547.272551001362,23155.663950197817
570,23438.783286495698,19574.92435258954
571,23450.51071091827,21773.72344319244
572,20997.15622660587,21097.02330888881
573,31844.508071037406,22140.942708100378
574,23535.82691670084,21621.553687994998
575,23289.57318824397,20243.754207007107
576,22037.257426996726,21353.02612591372
577,23606.695610299816,22063.019849457647
578,24487.18566840242,20869.11030609807
579,24444.325402103837,22226.187815624035
580,24770.398225010817,21868.88085057419
581,22605.44178663116,39240.09469780251
582,22401.047796199276,24616.7571129186
583,24166.603113586483,22841.11397301428
584,23263.847788597806,21607.5950941275
585,23574.714491133967,20630.37267243866
586,20675.817660199526,20643.722479336135
587,25413.50296849981,21276.291081699466
588,24463.75057379658,21664.929149101685
589,24383.779943402707,21686.031543834055
590,24382.561759900425,22566.208595721546
591,23361.61276301887,20069.924541473767
592,24870.078853099993,20851.448660714785
593,22426.945543997404,19321.904592876053
594,24298.981686280607,23104.737496882764
595,23674.82566680047,22649.57752260211
596,24540.71671649526,23329.80816709652
597,24719.883751010457,22169.962600499068
598,21911.193538204378,23006.852702397828
599,22088.072107402262,20905.203001302492
600,23224.300466909008,20517.14921098278
601,23280.6424787006,23868.61919022358
602,23912.142127299776,24698.282281999596
603,23125.902378206716,24064.67746849867
604,23360.549370837292,23863.594963926826
605,24760.501605160232,25253.198477299327
606,23447.279075096416,23791.186039699336
607,22783.992676825084,20925.740353547135
608,23128.60252717633,21250.86124246898
609,23871.393109898785,36591.7258825545
610,23904.61539739582,20947.62652838028
611,24321.195792300725,20993.354319104863
612,22623.982251196856,33424.62134470181
613,23994.443064697323,22869.416448074757
614,22964.34414599709,22839.87366448911
615,22486.102018530746,24278.941839899217
616,23137.863458702574,21087.27490681119
617,23873.337149401377,22241.22543480418
618,22529.42797959654,22416.490209502997
619,22745.772890675158,21728.290390446935
620,23724.421843296444,19360.92844998571
621,22477.5253330008,22096.397585387316
622,23621.400899002507,23056.040456739025
623,23079.55845609705,23892.611838098514
624,23442.76830989452,19116.951566221167
625,23067.197621296,22512.941026816694
626,24007.75459250072,20865.67607022817
627,23007.14380188914,21444.50866631575
628,25297.72471830191,23883.83784627961
629,22784.808629481893,21895.183875696875
630,21505.397977853394,22390.883429505673
631,22742.67147923245,21566.37708491574
632,24393.602009297472,17333.644158142088
633,25388.158730476505,23997.114467998203
634,23603.623193133466,22998.6095162001
635,23035.27123330258,21294.347117195404
636,23214.779489898978,22674.308833141185
637,24939.729608897956,22132.374077600278
638,23273.79803290027,21907.70141063627
639,24556.071350821967,23250.03717731946
640,24529.401603201368,20615.262299628026
641,22762.305339651757,23535.674373740712
642,23970.04592139656,23671.309167398416
643,22306.092186931062,21982.39216413932
644,24943.313348565367,21419.568198993515
645,24802.59672129926,22834.59708980145
646,23388.595859704445,23065.095226897447
647,24818.049355939667,23495.9800243002
648,22418.476947593947,20760.826152534853
649,24838.48317379972,23743.62545520311
650,19584.260815363985,23056.682744827078
651,23736.960935496638,23256.27205079025
652,23071.39983719787,20245.092814105334
653,23463.794657860195,23515.128684847405
654,24058.16436280234,22770.467534461044
655,24341.875411597368,25504.418503370744
656,23670.39814830255,21244.245287015565
657,23324.722341129473,23552.80998829544
658,25010.053181701278,21709.8437994729
659,24802.660974198883,23464.528082897275
660,22586.346629098054,22560.639226926964
661,23427.385427370238,24599.402613394293
662,22151.757486999843,21022.790640118463
663,25552.233939400718,21893.921580037066
664,22197.880839973408,22847.004301342622
665,23678.846084838653,21224.03018029093
666,22447.47698556531,24255.22669319772
667,21936.466044801313,23088.78612168787
668,23202.12959719849,20800.203604033355
669,23502.22130318883,20556.112338373274
670,20762.400425003427,21770.110301448138
671,24672.88972830277,22512.13991207969
672,22306.165160051532,23000.95721840724
673,24116.0260795009,22584.460201729165
674,22395.324000511257,23420.495519647528
675,24947.818726394984,22499.629335317786
676,21047.304626773068,21967.68081254096
677,23924.900428611894,20867.665151171375
678,24560.473718496603,20324.838110606655
679,23846.463470220344,21758.076030862107
680,22592.078613296508,24873.00020230056
681,18982.152892464503,20422.098556899673
682,24519.874264272163,23915.537776885725
683,23132.14838640126,14550.467256263326
684,24199.20683179745,23369.000725698686
685,22179.776287696815,18366.578763102818
686,22305.85797929629,23532.111643760887
687,25862.88733799654,21944.291244475095
688,24112.431791300856,23056.12179069986
689,23738.966687073123,21977.620162491956
690,24347.330426899243,18175.947930028266
691,24427.374714997153,24600.05419522539
692,24107.910841102053,21936.307818009187
693,23442.080207098636,21815.543703726642
694,24994.308935888632,24036.112879928285
695,23720.942327161833,24566.162991501747
696,23613.703877699754,21988.968089607133
697,24037.192346703952,22050.610132315946
698,25460.777504496968,25278.18000050018
699,22143.220034700975,20979.68293160197
700,22587.96861109614,23459.913460886506
701,22564.49997370039,22545.661946496788
702,22817.509454701412,22442.96971396086
703,22381.47752100439,24027.575756001115
704,24228.41367320258,24262.431490796505
705,21854.38243580291,25675.01358468769
706,22830.146265667892,24080.361036998234
707,24597.213669997687,23944.260992636624
708,22068.177216905187,19224.17431890519
709,23387.364106616435,23663.625158877563
710,27136.1279493296,23131.255050877935
711,22742.48096204144,23420.28459878812
712,21947.49411722658,22781.54090423878
